#,Module,TestFunction,Result,TimeTaken,ExecutedOn,Syslogs,FCLI,TSSH,DCNT,Description,Devices,KnownIssue,Doc
1,switching/test_portchannel.py,,,0:00:49,2024-01-01 01:15:56,0,1,0,2,Module Prolog,"V3, V4",,
2,switching/test_portchannel.py,test_ft_portchannel_with_vlan_variations,Pass,0:00:43,2024-01-01 01:16:28,0,1,0,2,Test case passed,"V3, V4",,"This test case covers below test scenarios/tests FtOpSoSwLagFn041 : Verify that port-channel is up or not when port-channel created followed by add it to VLAN and then making the port-channel up. FtOpSoSwLagFn042 : Verify that port-channel is up when port-channel is created, making the port-channel up and then adding the port-channel to VLAN"
3,switching/test_portchannel.py,test_ft_verify_min_links_functionality_by_flapping_all_member_ports_007,Pass,0:00:25,2024-01-01 01:16:52,0,1,0,2,Test case passed,"V3, V4",,
4,switching/test_portchannel.py,,,0:00:35,2024-01-01 01:17:27,0,1,0,2,Module Epilog,"V3, V4",,
5,system/test_ssh.py,,,0:03:07,2024-01-01 01:23:14,0,1,0,2,Module Prolog,"V3, V4",,
6,system/test_ssh.py,test_ft_ssh_service_disable,Pass,0:00:09,2024-01-01 01:23:17,0,1,0,2,Test case passed,"V3, V4",,
7,system/test_ssh.py,test_ft_ssh_add_user_verify,Fail,0:11:29,2024-01-01 01:34:46,0,1,0,2,Test case Failed.,"V3, V4",,
8,system/test_ssh.py,test_ft_verify_logs_at_the_time_of_ssh_login_success,Pass,0:00:22,2024-01-01 01:35:08,0,1,0,2,Test case passed,"V3, V4",,"ceta-sonic-67575: Verify that on successful ssh login, error logs are generated"
9,system/test_ssh.py,,,0:00:55,2024-01-01 01:36:02,0,1,0,2,Module Epilog,"V3, V4",,
10,system/test_interface.py,,,0:03:13,2024-01-01 01:41:51,0,1,0,2,Module Prolog,"V3, V4",,
11,system/test_interface.py,test_ft_port_fn_verify_shut_noshut,DUTFail,0:01:01,2024-01-01 01:42:47,0,1,0,2,Error response from daemon: Container is not running,"V3, V4",,
12,system/test_interface.py,,,0:00:30,2024-01-01 01:43:17,0,1,0,2,Module Epilog,"V3, V4",,
